id, NormalizedVDWVD1075, PolarityD3025, ChargeD3075, PolarityD3100, SecondaryStrT2373.992,73.713,26.008,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.435,74.548,25.035,99.722,99.722
73.853,74.409,25.035,99.722,99.722
73.574,74.548,25.035,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.75,74.306,25.0,99.583,99.583
73.574,74.409,25.035,99.722,99.722
73.853,73.713,25.035,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.574,74.409,24.896,99.722,99.722
73.435,74.548,24.896,99.722,99.722
73.574,73.713,26.008,99.722,99.722
73.853,74.409,25.035,99.722,99.722
73.853,74.409,25.035,99.722,99.722
73.853,74.409,25.174,99.722,99.722
75.356,72.934,26.211,99.715,99.715
73.574,73.713,25.035,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.853,74.409,25.591,99.722,99.722
73.574,74.548,26.982,99.722,99.722
73.684,74.238,25.485,99.307,99.307
73.574,74.409,25.035,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.574,74.409,25.591,99.722,99.722
73.992,74.409,25.591,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.435,74.409,25.591,99.722,99.722
73.574,74.409,25.035,99.722,99.722
73.574,74.409,25.591,99.722,99.722
73.684,74.238,25.485,99.307,99.307
73.78,74.616,24.965,100.0,100.0
75.243,74.409,25.035,99.305,98.887
73.853,73.018,25.591,99.722,99.722
73.853,74.409,25.591,99.722,99.722
73.435,74.409,26.008,99.722,99.722
73.333,74.306,25.556,99.583,99.583
73.435,74.409,25.035,99.722,99.722
74.866,73.128,24.465,99.733,99.733
76.899,71.008,22.791,97.674,97.674
72.528,72.853,27.472,98.298,97.893
73.017,73.95,27.76,98.367,95.334
75.755,74.057,28.302,99.245,99.245
73.139,72.816,24.919,99.353,99.353
73.26,74.725,23.077,99.634,99.634
72.274,72.924,27.437,96.462,96.462
70.0,72.353,20.588,99.706,99.706
74.394,75.087,29.758,97.578,97.578
76.555,72.768,26.961,99.729,99.729
75.663,71.486,27.791,97.349,96.064
75.663,71.486,27.791,97.349,96.064
75.663,71.486,27.791,97.349,96.064
74.002,72.042,28.335,98.568,98.568
73.564,75.338,28.632,97.973,97.973
70.573,76.307,26.138,98.145,97.133
75.709,72.695,25.975,99.734,99.734
73.951,75.175,27.71,96.853,96.853
72.252,73.251,26.211,98.386,95.388
72.329,73.021,26.211,98.386,96.387
76.819,74.933,20.35,98.113,98.113
76.625,74.965,19.364,98.064,98.064
75.207,74.38,19.835,97.658,97.658
77.091,73.874,20.077,96.782,96.782
77.091,73.874,20.077,96.782,96.782
73.993,72.064,28.859,100.0,100.0
73.725,75.454,28.781,97.061,97.061
73.639,75.627,28.781,97.061,97.061
73.149,73.417,25.781,96.967,96.967
74.257,75.578,32.673,99.01,99.01
75.207,74.656,20.799,97.658,97.658
77.108,75.904,19.679,90.361,90.361
76.267,70.4,33.067,87.333,87.333
73.233,74.732,19.272,99.143,99.143
72.727,71.429,22.511,97.835,97.835
74.935,73.812,25.756,99.049,97.061
72.285,73.783,23.97,99.625,99.625
70.992,74.809,17.176,100.0,100.0
70.722,74.525,17.11,99.62,99.62
75.099,74.573,25.099,99.146,99.146
75.772,73.92,22.84,98.92,98.92
73.139,72.816,25.243,99.353,99.353
74.947,75.579,23.158,94.737,94.737
78.681,74.847,24.08,98.926,98.926
78.681,75.0,24.08,98.926,98.926
78.681,75.0,24.08,98.926,98.926
74.962,76.48,23.369,98.938,98.938
71.245,72.657,29.782,100.0,100.0
71.012,78.779,22.191,99.723,99.723
71.369,78.631,22.067,99.721,99.721
72.161,78.255,22.022,99.723,99.723
73.431,76.131,24.818,99.27,99.27
75.388,73.357,26.284,100.0,100.0
72.339,76.003,25.567,97.906,97.906
73.515,73.267,24.505,97.195,97.195
73.246,73.654,24.307,97.227,97.227
76.856,73.362,26.201,97.671,97.671
73.281,74.375,27.578,99.297,99.297
